"ProjectCountyName","num.entries","init.app.amt","curr.app.amt","undis.amt","jobs","pop","pc.num.entries","pc.init.app.amt","pc.curr.app.amt","pc.undis.amt","pc.jobs"
"LOS ANGELES",323416,27855223009.99,27618340840.6,NA,3136184,10039107,0.0322156143967785,2774.67139358013,2751.07545328484,NA,0.312396710185478
"ORANGE",106735,11247399255.5,11171297672.41,NA,1231959,3175692,0.033609997443077,3541.71602771931,3517.75224814308,NA,0.387934031385915
"SAN DIEGO",85237,8404992812.92,8369227036.35,NA,953012,3338330,0.0255328262933862,2517.72377593587,2507.01010276096,NA,0.28547567196772
"SANTA CLARA",45446,5416503491.16,5382325669.32,NA,509318,1927852,0.0235733863387853,2809.60545267998,2791.877005766,NA,0.264189367233584
"ALAMEDA",44397,5238636310.86,5219513942.82,NA,498276,1671329,0.0265638901736283,3134.41357797298,3122.97216336221,NA,0.298131606643575
"RIVERSIDE",41144,3522232489.66,3499875349.25,NA,449095,2470546,0.0166538085103455,1425.68990403741,1416.64043059712,NA,0.181779655185534
"SAN BERNARDINO",36678,3219447900.18,3198158359.76,NA,416973,2180085,0.0168241146560799,1476.75338355156,1466.98792008568,NA,0.191264560785474
"SAN FRANCISCO",36467,4637965216.08,4610522235.33,NA,389556,881549,0.0413669574805258,5261.15419117939,5230.02378237625,NA,0.441899429300016
"SACRAMENTO",28971,2728919752.04,2720466639.86,NA,316234,1552058,0.01866618386684,1758.25887437196,1752.81248501023,NA,0.203751406197449
"CONTRA COSTA",26194,2504572986.01,2467058373.66,NA,254729,1153526,0.022707767315171,2171.23236581577,2138.71067809482,NA,0.220826405299924
"VENTURA",22523,2058379534.53,2049131926.86,NA,244485,846006,0.0266227426283029,2433.05548013844,2422.12457932922,NA,0.288987312146722
"SAN MATEO",21424,2556697102.18,2534499588.63,NA,231901,766573,0.0279477623135696,3335.22978526507,3306.27296895403,NA,0.302516524844992
"FRESNO",16610,1772280515.18,1754649298.19,NA,232473,999101,0.0166249458262978,1773.87522901088,1756.22814729442,NA,0.232682181280972
"SONOMA",15168,1520380431.4,1511370159.2,NA,153382,494336,0.0306835836354221,3075.60127403224,3057.37425394873,NA,0.310278838684619
"MARIN",12866,1188732997.78,1177313153.66,NA,107372,258826,0.0497090709588681,4592.7881966263,4548.66649277893,NA,0.414842403777055
"SANTA BARBARA",12684,1249159502.32,1239462018.84,NA,147164,446499,0.0284076784046549,2797.67592384305,2775.9569872273,NA,0.329595363035527
"KERN",11608,1313534691.02,1293160147.73,NA,170047,900202,0.0128948835927936,1459.15549067876,1436.52218916421,NA,0.188898713844226
"SAN JOAQUIN",11443,1109543241.525,1095206184.76,72025588.43,136160,762148,0.0150141442344532,1455.8107369238,1436.99935545327,94.5034145992642,0.178652965040911
"PLACER",10784,1021635144.35,1017640218.63,69199223.78,114131,398329,0.0270730978663366,2564.80232257757,2554.77311124724,173.72379058517,0.286524455914583
"SAN LUIS OBISPO",8352,733081594.86,727664452.12,NA,89217,283111,0.029500796507377,2589.37870609054,2570.24436394206,NA,0.315130814415547
"STANISLAUS",8324,881791895.185,877856957.07,NA,102672,550660,0.0151164057676243,1601.33638758036,1594.19052967348,NA,0.186452620491773
"MONTEREY",7880,937251544.93,922361277.2,51930556.73,109215,434061,0.0181541304102419,2159.26228094669,2124.95772990432,119.638845070163,0.251612100603371
"SANTA CRUZ",7243,716087085.39,691344484.66,NA,80705,273213,0.0265104515524517,2620.98467272787,2530.42309355704,NA,0.295392239754331
"SOLANO",6618,636160416.73,635863838.05,NA,69370,447643,0.0147841025102593,1421.13339587573,1420.47086193686,NA,0.154967239518992
"TULARE",5804,658085311.03,644971153.46,48091166.45,97118,466195,0.012449725973037,1411.60954328124,1383.47934546703,103.156761548279,0.208320552558479
"NAPA",4709,608836542.61,607080693.71,NA,60626,137744,0.0341866070391451,4420.05853329365,4407.31134357939,NA,0.440135323498664
"EL DORADO",4513,372339901.85,372432418.93,NA,42127,192843,0.0234024569209149,1930.79293440778,1931.27268778229,NA,0.218452316132813
"YOLO",3929,413973340.27,409190212.06,NA,48704,220500,0.0178185941043084,1877.43011460317,1855.7379231746,NA,0.220879818594104
"BUTTE",3880,361782271.19,359817041.34,NA,43707,219186,0.0177018605202887,1650.5719853914,1641.60594809887,NA,0.199405983958829
"SHASTA",3842,369455218.8,368610900.26,NA,43060,180080,0.0213349622390049,2051.6171634829,2046.92858873834,NA,0.239115948467348
"MERCED",3138,296348131.19,296649771.68,NA,41359,277680,0.0113007778738116,1067.22893686978,1068.3152250072,NA,0.14894482857966
"NEVADA",2928,204736961.84,199071466.8,NA,23453,99755,0.0293519121848529,2052.39799348404,1995.603897549,NA,0.235106009723823
"HUMBOLDT",2673,239463615.36,235333059.34,NA,28539,135558,0.0197184968795645,1766.50301243748,1736.03224700866,NA,0.210529810118178
"SUTTER",1925,174200914.62,171139224.01,15306042.7,25427,96971,0.0198512957482134,1796.42279258747,1764.84953243753,157.841444349342,0.262212414020687
"IMPERIAL",1902,186827293.74,186941028.96,15174650.37,27799,181215,0.0104958198824601,1030.97035973843,1031.59798559722,83.7383791076898,0.153403415832023
"MADERA",1850,184620106.73,183585590.83,NA,24781,157327,0.0117589479237512,1173.48011930565,1166.90454168706,NA,0.157512696485664
"MENDOCINO",1835,157187361.31,156639415.08,NA,20198,86749,0.0211529815905659,1811.97894281202,1805.66248694509,NA,0.232832655131471
"KINGS",1327,141701843.49,140746054.57,NA,19766,152940,0.00867660520465542,926.519180659082,920.269743494181,NA,0.129240224924807
"SAN BENITO",981,102630254.79,101961332.38,9595585.04,12627,62808,0.0156190294230034,1634.03156906763,1623.38129505795,152.776478155649,0.2010412686282
"TUOLUMNE",970,69861924.14,70121806.24,NA,8500,54478,0.017805352619406,1282.38782884834,1287.15823341532,NA,0.156026285840156
"SISKIYOU",832,50036524.66,47845711.66,4201599.82,7073,43539,0.0191093043018903,1149.23458646271,1098.91618227336,96.5019825903213,0.162452054479892
"CALAVERAS",827,50096971.54,50075355.84,5573467.71,7296,45905,0.0180154667247577,1091.31840845224,1090.84752946302,121.413085938351,0.158936934974404
"LAKE",775,69816828.17,69590022.79,6970069.1,10235,64386,0.0120367781815923,1084.3479664834,1080.82537803249,108.254420215575,0.158963128630448
"TEHAMA",765,77292452.11,76436011.36,2608037.33,8782,65084,0.011754040931719,1187.57992916846,1174.42092311474,40.0718660500277,0.134933316944257
"YUBA",649,58592919.24,58347216.72,NA,6844,78668,0.00824986017186149,744.812620633549,741.689336451925,NA,0.0869985254487212
"AMADOR",606,33893885.62,33882423.62,2864013.21,4777,39752,0.015244515999195,852.63346800161,852.345130307909,72.0470217850674,0.120170054336889
"MONO",573,42267360.43,42435253.55,4859977.69,6128,14444,0.0396704513985046,2926.29191567433,2937.91564317364,336.470346856826,0.42425920797563
"PLUMAS",475,35901286.06,35871758.06,1278848.93,3280,18807,0.025256553410964,1908.93210294039,1907.36204923699,67.998560642314,0.17440314776413
"GLENN",469,59303774.49,58613342.31,NA,6617,28393,0.0165181558834924,2088.675888071,2064.3589021942,NA,0.233050399746416
"COLUSA",408,62524154.04,63870257.54,4284404.88,7246,21547,0.0189353506288578,2901.75681254931,2964.22970900821,198.839972153896,0.336288114354667
"INYO",380,35333937.13,39653407.88,2774430.4,5205,18039,0.0210654692610455,1958.75254337824,2198.20432839958,153.801785021343,0.2885414934309
"DEL NORTE",305,23974733.23,24057734.95,2033516.16,3783,27812,0.0109664892852006,862.028377319143,865.012762476629,73.1165022292536,0.136020422839062
"LASSEN",280,24921002.65,24888778.15,962412.01,2417,30573,0.00915840774539626,815.131084617146,814.077066365748,31.4791485951657,0.0790566840022242
"MARIPOSA",200,12410694.93,12462079.19,NA,1521,17203,0.011625879207115,721.426200662675,724.41313666221,NA,0.0884148113701099
"MODOC",162,8038845.53,8009176.1,711182.5,715,8841,0.0183237190363081,909.268807827169,905.912917090827,80.4414093428345,0.0808732043886438
"TRINITY",107,6777999.98,7049686.78,615833.41,885,12285,0.00870980870980871,551.72975010175,573.845077737078,50.1288897028897,0.072039072039072
"SIERRA",49,1702691.42,1726862.42,56538,288,3005,0.01630615640599,566.61944093178,574.663034941764,18.8146422628952,0.0958402662229617
"ALPINE",17,708471.92,713408.92,86117.92,114,1129,0.0150575730735164,627.52162976085,631.894526129318,76.2780513728964,0.100974313551816
